rep_id,method,input_size,time
4,original-py,72,0.02
4,optimized-py,72,0.019
0,original-py,67,0.018
0,optimized-py,67,0.019
1,original-py,67,0.018
1,optimized-py,67,0.018000000000000002
2,original-py,67,0.019
2,optimized-py,67,0.019
3,original-py,67,0.023
3,optimized-py,67,0.019
4,original-py,67,0.020999999999999998
4,optimized-py,67,0.02
0,original-py,1,0.019
0,optimized-py,1,0.019
1,original-py,1,0.018
1,optimized-py,1,0.017
2,original-py,1,0.018
2,optimized-py,1,0.016
3,original-py,1,0.018000000000000002
3,optimized-py,1,0.017
4,original-py,1,0.016
4,optimized-py,1,0.017
0,original-py,13,0.017
0,optimized-py,13,0.018
1,original-py,13,0.017
1,optimized-py,13,0.017
2,original-py,13,0.016
2,optimized-py,13,0.016
3,original-py,13,0.017
3,optimized-py,13,0.018
4,original-py,13,0.017
4,optimized-py,13,0.017
0,original-py,13,0.017
0,optimized-py,13,0.018000000000000002
1,original-py,13,0.017
1,optimized-py,13,0.016
2,original-py,13,0.016
2,optimized-py,13,0.017
3,original-py,13,0.017
3,optimized-py,13,0.017
4,original-py,13,0.017
4,optimized-py,13,0.017
0,original-py,34,0.017
0,optimized-py,34,0.018
1,original-py,34,0.018
1,optimized-py,34,0.017
2,original-py,34,0.017
2,optimized-py,34,0.016
3,original-py,34,0.017
3,optimized-py,34,0.017
4,original-py,34,0.016
4,optimized-py,34,0.017
0,original-py,22,0.017
0,optimized-py,22,0.017
1,original-py,22,0.017
1,optimized-py,22,0.016
2,original-py,22,0.016
2,optimized-py,22,0.016
3,original-py,22,0.017
3,optimized-py,22,0.019
4,original-py,22,0.017
4,optimized-py,22,0.017
0,original-py,52,0.018
0,optimized-py,52,0.017
1,original-py,52,0.016
1,optimized-py,52,0.016
2,original-py,52,0.017
2,optimized-py,52,0.017
3,original-py,52,0.016
3,optimized-py,52,0.018
4,original-py,52,0.018
4,optimized-py,52,0.017
0,original-py,13,0.016
0,optimized-py,13,0.017
1,original-py,13,0.017
1,optimized-py,13,0.016
2,original-py,13,0.016
2,optimized-py,13,0.016
3,original-py,13,0.018
3,optimized-py,13,0.019
4,original-py,13,0.018
4,optimized-py,13,0.016
0,original-py,82,0.017
0,optimized-py,82,0.017
1,original-py,82,0.016
1,optimized-py,82,0.016
